"","d","n","SensitivityAC","SensitivityMST","DelayAC","DelayMST"
"1",1,10,0.18,0.14,19.2222222222222,21.9285714285714
"2",1,20,0.25,0.31,8.76,10.5161290322581
"3",1,30,0.43,0.38,4.67441860465116,11
"4",1,40,0.68,0.37,4.29411764705882,7.94594594594595
"5",1,50,0.81,0.67,8.02469135802469,9.35820895522388
"6",1,60,0.9,0.23,9.66666666666667,7.30434782608696
"7",1,70,0.95,0.35,10.4105263157895,6.28571428571429
"8",1,80,1,0.88,8.98,7.94318181818182
"9",1,90,0.99,0.64,4.7979797979798,4.421875
"10",1,100,0.98,0.8,0,0
"11",10,10,0.15,0.17,21.8,23.0588235294118
"12",10,20,0.26,0.17,8.96153846153846,18
"13",10,30,0.44,0.2,4.93181818181818,9.8
"14",10,40,0.73,0.28,5.27397260273973,8.14285714285714
"15",10,50,0.9,0.32,5.84444444444444,6.5
"16",10,60,0.97,0.52,9.31958762886598,7.75
"17",10,70,0.98,0.58,10.8265306122449,6.24137931034483
"18",10,80,1,0.67,9.3,5.7910447761194
"19",10,90,1,0.75,5,3.14666666666667
"20",10,100,1,0.9,0,0
"21",50,10,0.07,0.11,22.2857142857143,27.4545454545455
"22",50,20,0.22,0.17,6.59090909090909,15.4705882352941
"23",50,30,0.58,0.3,8.32758620689655,15.1666666666667
"24",50,40,0.7,0.17,3.58571428571429,10.5882352941176
"25",50,50,0.9,0.3,5.63333333333333,7.96666666666667
"26",50,60,0.97,0.37,8.07216494845361,5.67567567567568
"27",50,70,1,0.27,10.54,6.33333333333333
"28",50,80,1,0.73,9.58,5.56164383561644
"29",50,90,1,0.56,5,3.375
"30",50,100,1,0.66,0,0
"31",100,10,0.12,0.11,20.3333333333333,21.5454545454545
"32",100,20,0.15,0.14,13.8,17.5714285714286
"33",100,30,0.4,0.14,4.225,10.2142857142857
"34",100,40,0.72,0.26,3.93055555555556,10.1538461538462
"35",100,50,0.9,0.36,5.96666666666667,8.86111111111111
"36",100,60,0.99,0.44,7.70707070707071,6.25
"37",100,70,0.99,0.57,10.9494949494949,8.08771929824561
"38",100,80,0.99,0.72,9.05050505050505,6
"39",100,90,1,0.48,4.99,3.39583333333333
"40",100,100,1,0.75,0,0
"41",300,10,0.08,0.1,23.125,20.4
"42",300,20,0.22,0.16,11.2727272727273,21.6875
"43",300,30,0.24,0.19,5.75,13.2631578947368
"44",300,40,0.52,0.16,4.44230769230769,12.25
"45",300,50,0.82,0.31,5.84146341463415,9.06451612903226
"46",300,60,0.94,0.38,8.27659574468085,7.13157894736842
"47",300,70,0.99,0.38,9.43434343434343,6.63157894736842
"48",300,80,0.99,0.49,8.77777777777778,5.38775510204082
"49",300,90,1,0.45,4.96,3.28888888888889
"50",300,100,1,0.71,0,0
"51",500,10,0.1,0.17,24.4,26.2941176470588
"52",500,20,0.16,0.1,8.1875,15.9
"53",500,30,0.48,0.14,9.5625,16.0714285714286
"54",500,40,0.52,0.22,5.59615384615385,12.3181818181818
"55",500,50,0.8,0.3,6.1125,10.4333333333333
"56",500,60,0.91,0.23,6.86813186813187,7.91304347826087
"57",500,70,0.95,0.37,8.43157894736842,6.08108108108108
"58",500,80,1,0.28,8.23,5.46428571428571
"59",500,90,1,0.68,4.94,3.47058823529412
"60",500,100,1,0.61,0,0
