"","d","n","AccuracyAC","AccuracyMST","SensitivityAC","SensitivityMST","FPR_AC","FPR_MST"
"1",1,10,0.55,0.56,0.162790697674419,0.162790697674419,0.157894736842105,0.140350877192982
"2",1,20,0.43,0.42,0.101694915254237,0.152542372881356,0.0975609756097561,0.195121951219512
"3",1,30,0.49,0.47,0.148148148148148,0.240740740740741,0.108695652173913,0.260869565217391
"4",1,40,0.65,0.62,0.227272727272727,0.204545454545455,0.0178571428571429,0.0535714285714286
"5",1,50,0.55,0.61,0.263157894736842,0.456140350877193,0.0697674418604651,0.186046511627907
"6",1,60,0.61,0.61,0.270833333333333,0.25,0.0769230769230769,0.0576923076923077
"7",1,70,0.69,0.61,0.468085106382979,0.212765957446809,0.113207547169811,0.0377358490566038
"8",1,80,0.82,0.72,0.733333333333333,0.816666666666667,0.05,0.425
"9",1,90,0.75,0.62,0.634615384615385,0.403846153846154,0.125,0.145833333333333
"10",1,100,0.77,0.6,0.7,0.44,0.16,0.24
"11",10,10,0.55,0.49,0.290909090909091,0.163636363636364,0.133333333333333,0.111111111111111
"12",10,20,0.8,0.69,0.647058823529412,0.549019607843137,0.0408163265306122,0.163265306122449
"13",10,30,0.85,0.84,0.909090909090909,0.727272727272727,0.196428571428571,0.0714285714285714
"14",10,40,0.9,0.9,1,1,0.24390243902439,0.24390243902439
"15",10,50,0.98,0.96,1,1,0.04,0.08
"16",10,60,0.93,0.91,1,1,0.137254901960784,0.176470588235294
"17",10,70,0.97,0.94,1,1,0.0652173913043478,0.130434782608696
"18",10,80,0.98,0.93,1,1,0.0408163265306122,0.142857142857143
"19",10,90,0.89,0.92,1,1,0.234042553191489,0.170212765957447
"20",10,100,0.93,0.89,1,1,0.145833333333333,0.229166666666667
"21",50,10,0.91,0.9,0.959183673469388,0.877551020408163,0.137254901960784,0.0784313725490196
"22",50,20,0.94,0.89,1,1,0.117647058823529,0.215686274509804
"23",50,30,0.97,0.97,1,1,0.0652173913043478,0.0652173913043478
"24",50,40,0.95,0.96,1,1,0.0892857142857143,0.0714285714285714
"25",50,50,0.96,0.9,1,1,0.08,0.2
"26",50,60,0.96,0.94,1,1,0.0816326530612245,0.122448979591837
"27",50,70,0.97,0.94,1,1,0.0625,0.125
"28",50,80,0.97,0.9,1,1,0.06,0.2
"29",50,90,0.95,0.92,1,1,0.102040816326531,0.163265306122449
"30",50,100,0.91,0.94,1,1,0.195652173913043,0.130434782608696
"31",100,10,0.96,0.96,1,1,0.0784313725490196,0.0784313725490196
"32",100,20,0.95,0.95,1,1,0.0943396226415094,0.0943396226415094
"33",100,30,1,0.97,1,1,0,0.075
"34",100,40,0.98,0.97,1,1,0.0454545454545455,0.0681818181818182
"35",100,50,0.98,0.95,1,1,0.0476190476190476,0.119047619047619
"36",100,60,0.98,0.93,1,1,0.0363636363636364,0.127272727272727
"37",100,70,0.97,0.95,1,1,0.0576923076923077,0.0961538461538462
"38",100,80,0.97,0.92,1,1,0.0666666666666667,0.177777777777778
"39",100,90,0.94,0.96,1,1,0.113207547169811,0.0754716981132075
"40",100,100,0.95,0.9,1,1,0.0892857142857143,0.178571428571429
"41",300,10,0.97,0.95,1,1,0.0714285714285714,0.119047619047619
"42",300,20,0.94,0.92,1,1,0.12,0.16
"43",300,30,0.95,0.95,1,1,0.0961538461538462,0.0961538461538462
"44",300,40,0.98,0.96,1,1,0.0425531914893617,0.0851063829787234
"45",300,50,0.93,0.91,1,1,0.132075471698113,0.169811320754717
"46",300,60,0.95,0.88,1,1,0.106382978723404,0.25531914893617
"47",300,70,0.94,0.92,1,1,0.122448979591837,0.163265306122449
"48",300,80,0.97,0.91,1,1,0.075,0.225
"49",300,90,0.94,0.94,1,1,0.111111111111111,0.111111111111111
"50",300,100,0.98,0.94,1,1,0.0434782608695652,0.130434782608696
"51",500,10,0.99,0.91,1,1,0.0196078431372549,0.176470588235294
"52",500,20,0.94,0.94,1,1,0.115384615384615,0.115384615384615
"53",500,30,0.93,0.94,1,1,0.159090909090909,0.136363636363636
"54",500,40,0.96,0.95,1,1,0.08,0.1
"55",500,50,0.85,0.92,1,1,0.3125,0.166666666666667
"56",500,60,0.98,0.95,1,1,0.0512820512820513,0.128205128205128
"57",500,70,0.98,0.91,1,1,0.0363636363636364,0.163636363636364
"58",500,80,0.91,0.89,1,1,0.145161290322581,0.17741935483871
"59",500,90,0.95,0.92,1,1,0.106382978723404,0.170212765957447
"60",500,100,0.94,0.93,1,1,0.115384615384615,0.134615384615385
