"","d","n","AccuracyAC","AccuracyMST","AccuracyR","SensitivityAC","SensitivityMST","SensitivityR","FPR_AC","FPR_MST","FPR_R"
"1",1,30,0.44,0.43,0.43,0.0833333333333333,0.05,0.0833333333333333,0.025,0,0.05
"2",1,40,0.73,0.61,0.66,0.333333333333333,0,0.205128205128205,0.0163934426229508,0,0.0491803278688525
"3",1,50,0.62,0.54,0.45,0.368421052631579,0.210526315789474,0.12280701754386,0.0465116279069767,0.0232558139534884,0.116279069767442
"4",1,60,0.7,0.57,0.51,0.5,0.28,0.06,0.1,0.14,0.04
"5",1,70,0.6,0.6,0.45,0.363636363636364,0.272727272727273,0.0545454545454545,0.111111111111111,0,0.0666666666666667
"6",1,80,0.8,0.66,0.47,0.679245283018868,0.754716981132076,0.0188679245283019,0.0638297872340425,0.446808510638298,0.0212765957446809
"7",1,90,0.81,0.6,0.54,0.645833333333333,0.958333333333333,0.104166666666667,0.0384615384615385,0.730769230769231,0.0576923076923077
"8",1,100,0.74,0.75,0.52,0.563636363636364,0.763636363636364,0.181818181818182,0.0444444444444444,0.266666666666667,0.0666666666666667
"9",5,30,0.82,0.82,0.55,0.645833333333333,0.708333333333333,0.104166666666667,0.0192307692307692,0.0769230769230769,0.0384615384615385
"10",5,40,0.93,0.88,0.45,0.901639344262295,0.852459016393443,0.0983606557377049,0.0256410256410256,0.0769230769230769,0
"11",5,50,0.96,0.92,0.55,0.958333333333333,0.854166666666667,0.104166666666667,0.0384615384615385,0.0192307692307692,0.0384615384615385
"12",5,60,0.98,0.95,0.54,1,0.979591836734694,0.0612244897959184,0.0392156862745098,0.0784313725490196,0
"13",5,70,0.95,0.91,0.56,0.94,0.92,0.18,0.04,0.1,0.06
"14",5,80,0.97,0.97,0.59,1,0.978260869565217,0.152173913043478,0.0555555555555556,0.037037037037037,0.037037037037037
"15",5,90,0.99,0.89,0.63,1,1,0.34,0.02,0.22,0.08
"16",5,100,0.97,0.98,0.61,0.978260869565217,0.978260869565217,0.217391304347826,0.037037037037037,0.0185185185185185,0.0555555555555556
"17",10,30,0.94,0.95,0.5,0.96078431372549,0.901960784313726,0.0392156862745098,0.0816326530612245,0,0.0204081632653061
"18",10,40,0.95,0.97,0.59,1,0.952380952380952,0.0476190476190476,0.0862068965517241,0.0172413793103448,0.0172413793103448
"19",10,50,0.99,0.9,0.51,1,1,0.06,0.02,0.2,0.04
"20",10,60,0.98,0.98,0.47,1,1,0.145161290322581,0.0526315789473684,0.0526315789473684,0
"21",10,70,0.94,0.95,0.59,1,1,0.215686274509804,0.122448979591837,0.102040816326531,0.0204081632653061
"22",10,80,0.96,0.97,0.62,1,1,0.339285714285714,0.0909090909090909,0.0681818181818182,0.0227272727272727
"23",10,90,0.95,0.94,0.67,1,1,0.42,0.1,0.12,0.08
"24",10,100,0.98,0.98,0.63,1,1,0.392857142857143,0.0454545454545455,0.0454545454545455,0.0681818181818182
"25",50,30,0.98,0.94,0.45,1,1,0,0.0416666666666667,0.125,0.0625
"26",50,40,0.97,0.92,0.39,1,1,0.0169491525423729,0.0731707317073171,0.195121951219512,0.0731707317073171
"27",50,50,0.99,0.97,0.5,1,1,0,0.0192307692307692,0.0576923076923077,0.0384615384615385
"28",50,60,0.97,0.97,0.58,1,1,0,0.0508474576271186,0.0508474576271186,0.0169491525423729
"29",50,70,1,0.96,0.51,1,1,0.04,0,0.08,0.02
"30",50,80,0.99,0.97,0.5,1,1,0,0.02,0.06,0
"31",50,90,0.97,0.97,0.5,1,1,0.0204081632653061,0.0588235294117647,0.0588235294117647,0.0392156862745098
"32",50,100,0.94,0.94,0.52,1,1,0,0.107142857142857,0.107142857142857,0.0714285714285714
"33",100,30,0.99,0.97,0.45,1,1,0,0.0217391304347826,0.0652173913043478,0.0217391304347826
"34",100,40,0.97,0.98,0.49,1,1,0,0.0588235294117647,0.0392156862745098,0.0392156862745098
"35",100,50,0.94,0.97,0.5,1,1,0,0.115384615384615,0.0576923076923077,0.0384615384615385
"36",100,60,0.97,0.98,0.48,1,1,0,0.0625,0.0416666666666667,0
"37",100,70,0.97,0.96,0.46,1,1,0,0.0638297872340425,0.0851063829787234,0.0212765957446809
"38",100,80,0.99,0.97,0.44,1,1,0,0.0222222222222222,0.0666666666666667,0.0222222222222222
"39",100,90,0.97,0.93,0.57,1,1,0,0.0517241379310345,0.120689655172414,0.0172413793103448
"40",100,100,1,0.97,0.39,1,1,0,0,0.0714285714285714,0.0714285714285714
"41",300,30,0.97,1,0.55,1,1,0,0.0545454545454545,0,0
"42",300,40,0.98,0.99,0.46,1,1,0,0.0434782608695652,0.0217391304347826,0
"43",300,50,0.99,0.99,0.43,1,1,0,0.0217391304347826,0.0217391304347826,0.0652173913043478
"44",300,60,0.98,0.99,0.48,1,1,0,0.0408163265306122,0.0204081632653061,0.0204081632653061
"45",300,70,0.98,0.98,0.43,1,1,0,0.0425531914893617,0.0425531914893617,0.0851063829787234
"46",300,80,0.98,0.97,0.48,1,1,0,0.04,0.06,0.04
"47",300,90,0.96,0.96,0.52,1,1,0,0.0754716981132075,0.0754716981132075,0.0188679245283019
"48",300,100,0.96,0.96,0.55,1,1,0,0.0714285714285714,0.0714285714285714,0.0178571428571429
"49",500,30,0.98,0.92,0.51,1,1,0,0.0384615384615385,0.153846153846154,0.0192307692307692
"50",500,40,0.95,0.9,0.48,1,1,0,0.0980392156862745,0.196078431372549,0.0588235294117647
"51",500,50,0.98,1,0.38,1,1,0,0.05,0,0.05
"52",500,60,0.99,0.92,0.52,1,1,0,0.0178571428571429,0.142857142857143,0.0714285714285714
"53",500,70,0.98,0.97,0.44,1,1,0,0.0444444444444444,0.0666666666666667,0.0222222222222222
"54",500,80,0.95,0.87,0.48,1,1,0,0.1,0.26,0.04
"55",500,90,0.99,0.97,0.48,1,1,0,0.0204081632653061,0.0612244897959184,0.0204081632653061
"56",500,100,0.95,0.98,0.46,1,1,0,0.104166666666667,0.0416666666666667,0.0416666666666667
